año;mes;inflación
1959;2;0.056935191
1959;3;0.040114613
1959;4;0
1959;5;0.049586777
1959;6;0.059317585
1959;7;0.027254708
1959;8;0.03617945
1959;9;0.017225326
1959;10;-0.001830664
1959;11;0.004585053
1959;12;0.073938841
1960;1;0.027624309
1960;2;0.043424318
1960;3;-0.020610384
1960;4;0.021044112
1960;5;0.022592152
1960;6;0.043023256
1960;7;0.021924935
1960;8;0.071636364
1960;9;0.049202579
1960;10;0.022962484
1960;11;-0.055011065
1960;12;0.072934092
1961;1;0.045213595
1961;2;-0.003878282
1961;3;-0.022162324
1961;4;-0.011332312
1961;5;0.049566295
1961;6;0.004132231
1961;7;0.012051734
1961;8;0.005227999
1961;9;0.011557353
1961;10;-0.002856327
1961;11;0.00973933
1961;12;0.003404255
1962;1;0.025728018
1962;2;0.003583241
1962;3;0.001647899
1962;4;0.000548396
1962;5;0.006029049
1962;6;0.012803051
1962;7;0.025551372
1962;8;0.009179124
1962;9;0.011174636
1962;10;0.025443331
1962;11;-0.004761905
1962;12;-0.009569378
1963;1;-0.007882024
1963;2;-0.022808816
1963;3;0.058746394
1963;4;0.049541739
1963;5;-0.001888128
1963;6;0.048238354
1963;7;0.040830138
1963;8;0.020806242
1963;9;0.040127389
1963;10;0.061849357
1963;11;0.018646674
1963;12;0.066050198
1964;1;0.002655337
1964;2;0.02789548
1964;3;0.03761594
1964;4;0.005131601
1964;5;0.006422925
1964;6;0.046146294
1964;7;0.021742531
1964;8;0.03413962
1964;9;0.032420429
1964;10;0.015486091
1964;11;0.027110986
1964;12;0.051690954
1965;1;0.033202614
1965;2;0.034665992
1965;3;0.045487894
1965;4;0.023391813
1965;5;0.0224
1965;6;0.070534317
1965;7;0.03132505
1965;8;0.063480814
1965;9;0.084634425
1965;10;0.041165628
1965;11;0.076884168
1965;12;0.125880695
1966;1;0.030524266
1966;2;0.023615141
1966;3;0.025641026
1966;4;0.046722365
1966;5;0.014858476
1966;6;0.078286648
1966;7;0.011726421
1966;8;0.026452972
1966;9;0.02641958
1966;10;0.032424466
1966;11;0.020393596
1966;12;0.073448586
1967;1;0.054645317
1967;2;0.11174861
1967;3;0.052719333
1967;4;0.024662493
1967;5;0.007507729
1967;6;0.071412916
1967;7;0.158876274
1967;8;0.064193463
1967;9;0.089154895
1967;10;0.050687852
1967;11;0.038579539
1967;12;0.178847227
1968;1;0.159764014
1968;2;0.066249277
1968;3;0.048075696
1968;4;0.036446677
1968;5;0.073370643
1968;6;0.135355941
1968;7;0.005894052
1968;8;-0.016835622
1968;9;-0.010359663
1968;10;0.020431286
1968;11;-0.001436192
1968;12;0.018794039
1969;1;0.012005599
1969;2;0.010644034
