"";"deserta";"educ_jefe";"hermanos";"jmujer";"miembros";"aglomerado";"edad";"ch07";"ch08";"ch10";"ch11";"ch13";"ch14";"nivel_ed";"estado";"cat_ocup";"cat_inac";"intensi";"ingresos_familiares";"ingreso_per_capita";"mujer"
"64";0;6;1;1;2;2;16;5;1;1;2;2;"05";3;3;0;3;NA;56600;28300;1
"65";0;6;2;1;3;2;18;5;1;1;2;2;"05";3;3;0;3;NA;23000;7666,67;1
"66";0;4;2;1;3;2;14;5;4;1;1;2;"02";3;3;0;3;NA;0;0;0
"67";0;4;2;0;4;2;16;5;1;1;1;2;"05";3;3;0;3;NA;0;0;1
"68";0;6;2;1;4;2;17;5;1;1;2;2;"04";3;3;0;3;NA;60000;15000;0
"69";0;4;3;1;5;2;16;5;1;1;2;2;"03";3;3;0;3;NA;0;0;1
"70";0;7;2;1;3;2;15;5;1;1;2;2;"03";3;3;0;3;NA;90000;30000;1
"71";0;4;2;0;4;2;13;5;1;1;2;2;"01";3;3;0;3;NA;0;0;1
"72";0;4;2;0;4;2;15;5;1;1;2;2;"02";3;3;0;3;NA;0;0;1
"73";0;4;2;0;4;2;13;5;1;1;2;2;"01";3;3;0;3;NA;0;0;0
"74";0;4;3;0;5;2;18;5;1;1;1;2;"05";3;3;0;3;NA;0;0;0
"75";0;4;3;0;5;2;15;5;1;1;1;2;"02";3;3;0;3;NA;0;0;1
"76";0;7;2;1;4;2;14;5;1;1;2;2;"01";3;3;0;3;NA;85000;21250;1
"77";0;7;2;0;4;2;16;5;1;1;1;2;"04";3;3;0;3;NA;0;0;0
"78";0;2;3;0;4;2;16;5;4;1;1;2;"04";3;3;0;3;NA;0;0;0
"79";0;4;2;1;4;2;16;5;1;1;1;2;"03";3;3;0;3;NA;0;0;0
"80";0;4;2;1;4;2;14;5;1;1;1;2;"02";3;3;0;3;NA;0;0;1
"81";0;4;3;1;4;2;14;5;1;1;1;2;"03";3;3;0;3;NA;45000;11250;0
"82";0;2;4;0;6;2;16;5;4;1;2;2;"03";3;3;0;3;NA;0;0;1
"83";0;8;3;0;5;2;13;5;1;1;2;2;"02";3;3;0;3;NA;0;0;1
"84";0;6;2;1;4;2;14;5;1;1;2;2;"02";3;3;0;3;NA;0;0;1
"85";0;7;3;1;4;2;15;5;1;1;1;2;"03";3;3;0;3;NA;55000;13750;0
"86";0;7;3;0;5;2;16;5;1;1;1;2;"04";3;3;0;3;NA;0;0;1
"87";0;4;2;0;4;2;13;5;1;1;2;2;"02";3;3;0;3;NA;135000;33750;1
"88";0;4;2;0;4;2;15;5;1;1;1;2;"03";3;3;0;3;NA;60000;15000;1
"89";0;4;4;1;5;2;13;5;1;1;1;2;"01";3;3;0;3;NA;11000;2200;1
"90";0;6;2;0;4;2;15;5;1;1;2;2;"03";3;3;0;3;NA;87000;21750;0
"91";0;7;1;1;2;2;15;5;1;1;2;2;"04";3;3;0;3;NA;0;0;1
"92";0;4;5;1;7;2;14;5;4;1;1;2;"03";3;3;0;3;NA;54000;7714,29;1
"93";0;6;2;0;4;2;14;5;1;1;2;2;"02";3;3;0;3;NA;80000;20000;1
"94";0;7;2;0;4;2;14;5;1;1;2;2;"02";3;3;0;3;NA;0;0;1
"95";1;7;3;0;5;2;17;5;1;2;0;2;"04";3;3;0;4;NA;0;0;1
"96";0;7;1;0;2;2;15;5;1;1;1;2;"03";3;3;0;3;NA;77000;38500;1
"97";0;7;1;0;3;2;15;5;1;1;2;2;"03";3;3;0;3;NA;80000;26666,67;1
"98";0;7;3;1;4;2;17;5;4;1;1;2;"03";3;3;0;3;NA;9900;2475;1
"99";0;2;4;0;5;2;18;5;4;1;1;2;"04";3;3;0;3;NA;7000;1400;0
"100";0;2;4;0;5;2;19;5;4;2;0;1;"";4;3;0;7;NA;7000;1400;1
"101";0;2;4;0;5;2;14;5;4;1;1;2;"01";3;3;0;3;NA;7000;1400;1
"102";0;7;1;0;3;2;17;5;1;1;1;2;"01";3;3;0;3;NA;0;0;1
"103";0;4;2;0;4;2;15;5;4;1;1;2;"01";3;1;3;0;2;0;0;0
"104";0;4;2;0;4;2;16;5;1;1;2;2;"04";3;3;0;3;NA;64000;16000;0
"105";0;4;2;0;4;2;17;5;1;1;1;2;"05";3;3;0;3;NA;30000;7500;0
"106";0;7;3;1;5;2;14;5;1;1;1;2;"03";3;3;0;3;NA;53000;10600;1
"107";0;4;2;0;4;2;17;5;1;1;1;2;"04";3;3;0;3;NA;30000;7500;0
"108";0;6;2;1;4;2;14;5;4;1;1;2;"01";3;3;0;3;NA;0;0;0
"109";0;4;3;0;5;2;14;5;1;1;2;2;"03";3;3;0;3;NA;34000;6800;0
"110";1;4;2;1;4;2;19;5;1;1;1;2;"05";3;3;0;3;NA;0;0;1
"111";0;4;1;0;2;2;14;5;1;1;2;2;"01";3;3;0;3;NA;50000;25000;0
"112";0;4;1;1;2;2;16;5;4;1;1;2;"03";3;3;0;3;NA;20000;10000;0
"113";0;7;2;1;3;2;17;5;4;1;1;2;"01";3;3;0;3;NA;0;0;0
"114";0;2;4;0;6;3;16;5;1;1;1;2;"06";3;3;0;3;NA;29000;4833,33;0
"115";0;7;2;1;3;3;14;5;1;1;1;2;"02";3;3;0;3;NA;30000;10000;0
"116";0;3;2;0;4;3;13;5;1;1;1;2;"01";3;3;0;3;NA;0;0;0
"117";0;4;3;1;4;3;17;5;4;1;1;2;"05";3;1;2;0;1;0;0;0
"118";0;4;3;1;4;3;14;5;4;1;1;2;"03";3;3;0;3;NA;0;0;0
"119";0;4;2;1;4;3;13;5;12;1;1;2;"01";3;3;0;3;NA;48000;12000;0
"120";0;4;1;0;3;3;15;5;1;1;2;2;"02";3;3;0;3;NA;70000;23333,33;0
"121";0;0;1;0;3;3;16;5;4;1;1;2;"03";3;3;0;3;NA;0;0;1
"122";0;4;3;0;5;3;14;5;4;1;1;2;"02";3;3;0;3;NA;0;0;0
"123";0;7;2;1;3;3;16;5;1;1;1;2;"03";3;3;0;3;NA;0;0;0
"124";0;4;3;0;5;3;17;5;1;1;1;2;"05";3;3;0;3;NA;95000;19000;0
"125";0;4;3;0;5;3;14;5;1;1;2;2;"02";3;3;0;3;NA;95000;19000;1
"126";1;2;2;1;3;3;19;5;1;2;0;2;"03";3;1;3;0;2;0;0;1
"127";1;2;2;1;3;3;19;5;1;1;1;2;"04";3;3;0;3;NA;0;0;1
"128";0;4;2;0;4;3;16;5;1;1;1;2;"04";3;3;0;3;NA;65000;16250;1
"129";0;4;2;0;4;3;18;5;1;2;0;1;"";4;2;3;0;NA;65000;16250;0
"130";0;4;2;0;4;3;13;5;1;1;1;2;"01";3;3;0;3;NA;56000;14000;1
"131";0;4;2;0;4;3;14;5;1;1;1;2;"01";3;3;0;3;NA;27000;6750;1
"132";0;4;4;0;6;3;14;5;4;1;1;2;"02";3;3;0;3;NA;16500;2750;1
"133";0;2;3;1;4;3;13;5;1;1;1;2;"01";3;3;0;3;NA;0;0;1
"134";0;6;2;0;5;3;13;5;1;1;1;2;"01";3;3;0;3;NA;127000;25400;0
"135";0;2;2;0;4;3;16;5;4;1;1;2;"05";3;3;0;3;NA;3000;750;1
"136";0;2;3;0;5;3;14;5;4;1;1;2;"02";3;3;0;3;NA;75400;15080;1
"137";0;2;2;1;3;3;18;5;4;1;1;2;"03";3;3;0;3;NA;0;0;0
"138";0;4;3;0;5;3;13;5;4;1;1;2;"01";3;3;0;3;NA;0;0;1
"139";0;2;3;1;5;3;18;5;1;1;1;2;"05";3;3;0;3;NA;0;0;1
"140";0;2;3;1;5;3;14;5;1;1;1;2;"02";3;3;0;3;NA;0;0;0
"141";0;7;3;0;5;3;16;5;1;1;1;2;"03";3;3;0;3;NA;0;0;0
"142";0;7;1;1;2;3;18;5;1;2;0;1;"";4;3;0;4;NA;56000;28000;0
"143";0;7;3;0;4;3;16;5;1;1;2;2;"04";3;3;0;3;NA;70000;17500;1
"144";0;7;3;0;4;3;13;5;1;1;2;2;"00";3;3;0;3;NA;70000;17500;1
"145";0;6;2;1;3;3;14;5;1;1;2;2;"03";3;3;0;3;NA;87000;29000;1
