"";"ID";"anio";"mes";"dpto";"region_4";"e26";"e27";"e29_6";"e36";"e49";"e202";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"pobpcoac";"pt1";"pt2";"pt4";"edu";"exp";"lpt1";"lpt4";"exp2"
"25";30;2021;7;1;1;1;69;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;4;6;0;0;0;24;1;2;2;1;2;2;103094;63093,5;63094;22;41;11,5433916224308;11,0523730321298;1681
"26";31;2021;7;1;1;1;23;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;40;2;2;2;2;1;2;33094;33093,5;33094;14;3;10,4070921674588;10,4070921674588;9
"27";32;2021;7;1;1;1;44;3;1;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;40;2;2;2;1;2;2;170392;170391,5;170392;17;21;12,0458540095041;12,0458540095041;441
"28";32;2021;7;1;1;2;36;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;4;0;1;2;40;2;2;2;1;9;2;53094;53093,5;53094;17;13;10,8798097891911;10,8798097891911;169
"29";34;2021;7;1;1;2;58;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;30;2;2;2;1;2;2;63094;63093,5;63094;12;40;11,0523730321298;11,0523730321298;1600
"30";36;2021;7;1;1;1;48;3;0;1;0;1;6;0;1;1;1;0;3;3;3;0;0;5;0;0;0;36;2;2;2;1;2;2;108094;108093,5;108094;20;22;11,5907518723097;11,5907518723097;484
"31";36;2021;7;1;1;2;36;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;40;2;2;2;1;1;2;63094;63093,5;63094;17;13;11,0523730321298;11,0523730321298;169
"32";37;2021;7;1;1;2;60;3;0;1;0;1;6;3;1;0;1;0;3;0;3;0;4;0;0;0;0;24;2;2;2;1;2;2;94302;94093,5;94094;19;35;11,4542559099313;11,452044247736;1225
"33";37;2021;7;1;1;1;54;3;0;1;0;1;6;0;1;0;0;1;3;0;0;3;0;0;2;0;0;40;2;2;2;1;1;2;133927;133093,5;133094;14;34;11,8050489099094;11,7988071677287;1156
"34";39;2021;7;1;1;2;28;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;4;0;0;0;0;48;2;2;2;1;2;2;96094;96093,5;96094;16;6;11,4730769547936;11,4730769547936;36
"35";40;2021;7;1;1;2;36;3;1;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;35;2;2;2;1;2;2;134010;123093,5;123094;17;13;11,8056709467018;11,7206995081789;169
"36";41;2021;7;1;1;1;64;3;4;1;0;1;6;0;1;0;2;0;3;0;2;0;0;0;0;0;0;50;2;1;2;1;9;2;68094;43093,5;43094;11;47;11,1286370397114;10,6711274526536;2209
"37";42;2021;7;1;1;1;34;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;8;0;3;1;48;2;2;2;1;9;2;104143;70000;104143;23;5;11,5535244586276;11,5535244586276;25
"38";43;2021;7;1;1;2;38;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;4;0;0;0;30;2;2;2;1;2;2;84094;84093,5;84094;16;16;11,3396845540324;11,3396845540324;256
"39";44;2021;7;1;1;1;49;3;5;1;0;1;6;0;1;0;0;1;3;0;0;3;0;0;0;0;0;30;2;2;2;1;9;2;103094;40000;103094;12;31;11,5433916224308;11,5433916224308;961
"40";45;2021;7;1;1;1;47;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;35;2;2;2;1;2;2;60594;60593,5;60594;17;24;11,0119429055785;11,0119429055785;576
"41";45;2021;7;1;1;2;47;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;3;0;0;45;2;2;2;1;1;2;93094;93093,5;93094;15;26;11,4413596434272;11,4413596434272;676
