Referencia;Nombre_jugador;Equipo;Posición;Edad ;Salario;Posicion;Rango_edad
230;Ishmael Smith; DEN;PG ;34 ;4725000;Base;4
231;Dewayne Dedmon; MIA;C ;33 ;4700000;pivot;4
232;Jalen Smith; IND;PF ;22 ;4670160;ala;1
233;Ziaire Williams; MEM;SG ;21 ;4591680;Escolta;1
234;Ousmane Dieng; OKC;SF ;19 ;4569840;Alero;1
235;Maurice Harkless; ATL;SF ;29 ;4564980;Alero;3
236;Jeff Green; DEN;PF ;36 ;4500000;ala;5
237;Donte DiVincenzo; GSW;SG ;26 ;4500000;Escolta;2
238;Devin Vassell; SAS;SG ;22 ;4437000;Escolta;1
239;Matisse Thybulle; PHI;SG ;25 ;4379527;Escolta;2
240;Jarred Vanderbilt; UTH;PF ;23 ;4374000;ala;2
241;James Bouknight; CHA;SG ;22 ;4362240;Escolta;1
242;Brandon Clarke; MEM;SF ;26 ;4343920;Alero;2
243;Jalen Williams; OKC;SG ;21 ;4341480;Escolta;1
244;Grant Williams; BOS;PF ;24 ;4306281;ala;2
245;Darius Bazley; OKC;SF ;22 ;4264629;Alero;1
246;Ty Jerome; OKC;PG ;25 ;4220057;Base;2
247;Tyrese Haliburton; IND;PG ;22 ;4215120;Base;1
248;Nassir Little; POR;SF ;22 ;4171548;Alero;1
249;Joshua Primo; SAS;SG ;20 ;4144320;Escolta;1
250;Jalen Duren; DET;C ;19 ;4124280;pivot;1
251;Danuel House Jr.; PHI;SF ;29 ;4105000;Alero;3
252;Justise Winslow; POR;SF ;26 ;4097561;Alero;2
253;Dylan Windler; CLE;SG ;26 ;4037278;Escolta;2
254;Kira Lewis Jr.; NOP;PG ;21 ;4004280;Base;1
255;George Hill; MIL;PG ;36 ;4000000;Base;5
256;Terence Davis; SAC;SG ;25 ;4000000;Escolta;2
257;Chris Duarte; IND;SG ;25 ;3936960;Escolta;2
258;Alex Len; SAC;C ;29 ;3918600;pivot;3
259;Ochai Agbaji; CLE;SF ;22 ;3918360;Alero;1
260;Jordan Poole; GSW;SG ;23 ;3901399;Escolta;2
261;Keldon Johnson; SAS;SG ;23 ;3873025;Escolta;2
262;Aaron Nesmith; IND;SF ;23 ;3804360;Alero;2
263;Moses Moody; GSW;SG ;20 ;3740160;Escolta;1
264;Mark Williams; CHA;C ;21 ;3722040;pivot;1
265;Cole Anthony; ORL;PG ;22 ;3613680;Base;1
266;Corey Kispert; WAS;SF ;23 ;3552840;Alero;2
267;Trey Burke; HOU;PG ;30 ;3547500;Base;3
268;A.J. Griffin; ATL;SF ;19 ;3536160;Alero;1
269;Mike Muscala; OKC;PF ;31 ;3500000;ala;4
