Referencia;Nombre_jugador;Equipo;Posición;Edad ;Salario;Posicion;Rango_edad
96;Derrick Rose; NYK;PG ;34 ;14520730;Base;4
97;Kevin Huerter; SAC;SG ;24 ;14508929;Escolta;2
98;Luke Kennard; LAC;SG ;26 ;14415545;Escolta;2
99;Will Barton; WAS;SF ;32 ;14375000;Alero;4
100;Christian Wood; DAL;PF ;27 ;14317459;ala;3
101;Wendell Carter Jr.; ORL;C ;23 ;14150000;pivot;2
102;Kentavious Caldwell-Pope; DEN;SG ;29 ;14004703;Escolta;3
103;Brook Lopez; MIL;C ;34 ;13906976;pivot;4
104;Doug McDermott; SAS;SF ;31 ;13750000;Alero;4
105;Zion Williamson; NOP;PF ;22 ;13534817;ala;1
106;Jordan Clarkson; UTH;PG ;30 ;13340000;Base;3
107;Patrick Beverley; UTH;PG ;34 ;13000000;Base;4
108;Kyle Kuzma; WAS;PF ;27 ;13000000;ala;3
109;Gary Harris; ORL;SG ;28 ;13000000;Escolta;3
110;Josh Hart; POR;SG ;27 ;12960000;Escolta;3
111;Kelly Olynyk; DET;PF ;31 ;12804878;ala;4
112;Chris Boucher; TOR;PF ;30 ;12690000;ala;3
113;Kelly Oubre Jr.; CHA;SF ;27 ;12600000;Alero;3
114;Marvin Bagley III; DET;PF ;23 ;12500000;ala;2
115;Dorian Finney-Smith; DAL;PF ;29 ;12402000;ala;3
116;Robert Covington; LAC;PF ;32 ;12307692;ala;4
117;Josh Richardson; SAS;SG ;29 ;12196094;Escolta;3
118;Ja Morant; MEM;PG ;23 ;12119440;Base;2
119;Devonte' Graham; NOP;PG ;27 ;11550000;Base;3
120;Terrence Ross; ORL;SG ;31 ;11500000;Escolta;4
121;Dillon Brooks; MEM;SG ;27 ;11400000;Escolta;3
122;Reggie Jackson; LAC;PG ;32 ;11215260;Base;4
123;Richaun Holmes; SAC;C ;29 ;11215260;pivot;3
124;Dwight Powell; DAL;C ;31 ;11080125;pivot;4
125;Paolo Banchero; ORL;PF ;20 ;11055120;ala;1
126;Robert Williams III; BOS;C ;25 ;10937502;pivot;2
127;R.J. Barrett; NYK;SG ;22 ;10900635;Escolta;1
128;Bobby Portis; MIL;PF ;27 ;10843350;ala;3
129;Nicolas Batum; LAC;SF ;34 ;10843350;Alero;4
130;Anthony Edwards; MIN;SG ;21 ;10733400;Escolta;1
131;Cade Cunningham; DET;PG ;21 ;10552800;Base;1
132;P.J. Tucker; PHI;PF ;37 ;10490000;ala;5
