fecha;inflación
Oct-60;0.022962484
Nov-60;-0.055011065
Dic-60;0.072934092
Ene-61;0.045213595
Feb-61;-0.003878282
Mar-61;-0.022162324
Abr-61;-0.011332312
May-61;0.049566295
Jun-61;0.004132231
Jul-61;0.012051734
Ago-61;0.005227999
set-61;0.011557353
Oct-61;-0.002856327
Nov-61;0.00973933
Dic-61;0.003404255
Ene-62;0.025728018
Feb-62;0.003583241
Mar-62;0.001647899
Abr-62;0.000548396
May-62;0.006029049
Jun-62;0.012803051
Jul-62;0.025551372
Ago-62;0.009179124
set-62;0.011174636
Oct-62;0.025443331
Nov-62;-0.004761905
Dic-62;-0.009569378
Ene-63;-0.007882024
Feb-63;-0.022808816
Mar-63;0.058746394
Abr-63;0.049541739
May-63;-0.001888128
Jun-63;0.048238354
Jul-63;0.040830138
Ago-63;0.020806242
set-63;0.040127389
Oct-63;0.061849357
Nov-63;0.018646674
Dic-63;0.066050198
Ene-64;0.002655337
Feb-64;0.02789548
Mar-64;0.03761594
Abr-64;0.005131601
May-64;0.006422925
Jun-64;0.046146294
Jul-64;0.021742531
Ago-64;0.03413962
set-64;0.032420429
Oct-64;0.015486091
Nov-64;0.027110986
Dic-64;0.051690954
Ene-65;0.033202614
Feb-65;0.034665992
Mar-65;0.045487894
Abr-65;0.023391813
May-65;0.0224
Jun-65;0.070534317
Jul-65;0.03132505
Ago-65;0.063480814
set-65;0.084634425
Oct-65;0.041165628
Nov-65;0.076884168
Dic-65;0.125880695
Ene-66;0.030524266
Feb-66;0.023615141
Mar-66;0.025641026
Abr-66;0.046722365
May-66;0.014858476
Jun-66;0.078286648
Jul-66;0.011726421
Ago-66;0.026452972
set-66;0.02641958
Oct-66;0.032424466
Nov-66;0.020393596
Dic-66;0.073448586
Ene-67;0.054645317
Feb-67;0.11174861
Mar-67;0.052719333
Abr-67;0.024662493
May-67;0.007507729
Jun-67;0.071412916
Jul-67;0.158876274
Ago-67;0.064193463
set-67;0.089154895
Oct-67;0.050687852
Nov-67;0.038579539
Dic-67;0.178847227
Ene-68;0.159764014
Feb-68;0.066249277
Mar-68;0.048075696
Abr-68;0.036446677
May-68;0.073370643
Jun-68;0.135355941
Jul-68;0.005894052
Ago-68;-0.016835622
set-68;-0.010359663
Oct-68;0.020431286
Nov-68;-0.001436192
Dic-68;0.018794039
Ene-69;0.012005599
Feb-69;0.010644034
Mar-69;0.021469831
Abr-69;0.027139045
May-69;-0.002642198
Jun-69;0.007459874
Jul-69;0.01520536
Ago-69;0.008052367
set-69;0.003644613
Oct-69;0.021766842
Nov-69;0.004120145
Dic-69;0.007914135
Ene-70;0.027544129
Feb-70;0.012299007
Mar-70;0.016401932
Abr-70;0.012629578
May-70;0.017309944
Jun-70;0.007941792
Jul-70;0.01017221
Ago-70;0.004166161
set-70;0.01292105
Oct-70;0.008761296
Nov-70;0.015240072
Dic-70;0.046827361
Ene-71;0.005276774
Feb-71;0.02515466
Mar-71;0.010398484
Abr-71;0.007979795
May-71;0.016331094
Jun-71;0.028403251
Jul-71;0.021606216
Ago-71;0.014239636
set-71;0.023286484
Oct-71;0.066575837
Nov-71;0.011054721
Dic-71;0.081501919
Ene-72;0.045295529
Feb-72;0.05335492
Mar-72;0.077974364
Abr-72;0.11246482
May-72;0.031602104
Jun-72;0.025529883
Jul-72;0.054973668
Ago-72;0.047194227
set-72;0.01503744
Oct-72;0.13356983
Nov-72;0.084317512
Dic-72;0.011245978
Ene-73;0.203465029
Feb-73;0.020534988
Mar-73;0.019461623
Abr-73;0.022
May-73;0.028375734
Jun-73;0.036156042
Jul-73;0.153351699
Ago-73;0.038216561
set-73;0.036042945
Oct-73;0.049592894
Nov-73;-0.010578279
Dic-73;0.010691376
Ene-74;0.167842031
Feb-74;0.025362319
Mar-74;0.030035336
Abr-74;0.026872499
May-74;0.026726058
Jun-74;0.037418655
Jul-74;0.075274438
Ago-74;0.03889159
set-74;0.075339261
Oct-74;0.070496084
Nov-74;0.103252033
Dic-74;0.082535004
Ene-75;0.021102791
Feb-75;0.080666667
Mar-75;0.041024059
Abr-75;0.034962963
May-75;0.036072144
Jun-75;0.019618679
Jul-75;0.024119241
Ago-75;0.031489812
set-75;0.059517701
Oct-75;0.039951574
Nov-75;0.024447031
Dic-75;0.114090909
Ene-76;0.00877193
Feb-76;0.005460061
Mar-76;0.017699115
Abr-76;0.020158103
May-76;0.022859357
Jun-76;0.011931818
Jul-76;0.077110238
Ago-76;0.056646394
set-76;0.045222825
Oct-76;0.032252989
Nov-76;0.012650511
Dic-76;0.032661048
Ene-77;0.04751494
Feb-77;0.063865312
Mar-77;0.032173686
Abr-77;0.035478966
May-77;0.037322565
Jun-77;0.044591247
Jul-77;0.050931677
Ago-77;0.032882012
set-77;0.054307116
Oct-77;0.034339846
Nov-77;0.014405648
Dic-77;0.0148594
Ene-78;0.011769067
Feb-78;0.027202784
Mar-78;0.026928221
Abr-78;0.052531041
May-78;0.027553209
Jun-78;0.028821452
Jul-78;0.033554428
Ago-78;0.034956587
set-78;0.040560257
Oct-78;0.037507011
Nov-78;0.014460437
Dic-78;0.049490442
Ene-79;0.056105611
Feb-79;0.047415865
Mar-79;0.025876413
Abr-79;0.045525727
May-79;0.071520274
Jun-79;0.041984923
Jul-79;0.033968954
Ago-79;0.095825031
set-79;0.045963889
Oct-79;0.034039457
Nov-79;0.070451169
Dic-79;0.053871439
Ene-80;0.036492809
Feb-80;0.043968169
Mar-80;0.019697018
Abr-80;0.02566116
May-80;0.034696065
Jun-80;0.036314668
Jul-80;0.056175925
Ago-80;0.025823374
set-80;0.020744919
Oct-80;0.041137279
Nov-80;0.013914726
Dic-80;0.008146191
Ene-81;0.021814564
Feb-81;0.025433389
Mar-81;0.022810959
Abr-81;0.019630485
May-81;0.019452402
Jun-81;0.028077283
Jul-81;0.030785203
Ago-81;0.034428891
set-81;0.021380598
Oct-81;0.020368857
Nov-81;0.016168087
Dic-81;0.000262679
Ene-82;0.010560672
Feb-82;0.005252998
Mar-82;-0.002714331
Abr-82;0.016774671
May-82;0.009214072
Jun-82;0.012792754
Jul-82;0.027560528
Ago-82;0.015031728
set-82;0.007378939
Oct-82;0.008935687
Nov-82;-0.005865152
Dic-82;0.086247993
Ene-83;0.154177755
Feb-83;0.027857181
Mar-83;0.012370458
Abr-83;0.039767794
May-83;0.007739089
Jun-83;0.021752841
Jul-83;0.023177846
Ago-83;0.031465512
set-83;0.04919894
Oct-83;0.052171347
Nov-83;0.000384376
Dic-83;0.010997227
Ene-84;0.072127039
Feb-84;0.040468298
Mar-84;0.022752804
Abr-84;0.045429582
May-84;0.045151956
Jun-84;0.06338063
Jul-84;0.061284424
Ago-84;0.0399743
set-84;0.030174532
Oct-84;0.055310217
Nov-84;0.018281972
Dic-84;0.025684443
Ene-85;0.048635714
Feb-85;0.032370474
Mar-85;0.065138301
Abr-85;0.09996032
May-85;0.04131893
Jun-85;0.02991028
Jul-85;0.068398743
Ago-85;0.037672996
set-85;0.034976876
Oct-85;0.040354943
Nov-85;0.066449117
Dic-85;0.056931586
Ene-86;0.0565
Feb-86;0.036535731
Mar-86;0.053785042
Abr-86;0.048700173
May-86;0.023962981
Jun-86;0.048579729
Jul-86;0.062952132
Ago-86;0.043006082
set-86;0.044842427
Oct-86;0.051886792
Nov-86;0.045348323
Dic-86;0.031055525
Ene-87;0.039437445
Feb-87;0.033712933
Mar-87;0.069862565
Abr-87;0.025386145
May-87;0.020780512
Jun-87;0.044611114
Jul-87;0.064292042
Ago-87;0.033511477
set-87;0.025049803
Oct-87;0.048048296
Nov-87;0.044109524
Dic-87;0.014245768
Ene-88;0.037591744
Feb-88;0.037630162
Mar-88;0.047581147
Abr-88;0.048723285
May-88;0.023308555
Jun-88;0.050357055
Jul-88;0.084515297
Ago-88;0.033479248
set-88;0.042042513
Oct-88;0.071107766
Nov-88;0.044320551
Dic-88;0.017541105
Ene-89;0.040914402
Feb-89;0.063745526
Mar-89;0.069660953
Abr-89;0.052486599
May-89;0.029284855
Jun-89;0.076042884
Jul-89;0.058630049
Ago-89;0.044267141
set-89;0.048947817
Oct-89;0.072949082
Nov-89;0.040731995
Dic-89;0.058176527
Ene-90;0.050678195
Feb-90;0.068552099
Mar-90;0.089728686
Abr-90;0.070129821
May-90;0.056019367
Jun-90;0.095854966
Jul-90;0.056421655
Ago-90;0.055672445
set-90;0.146609749
Oct-90;0.064704715
Nov-90;0.052812943
Dic-90;0.054252294
Ene-91;0.072271619
Feb-91;0.035010276
Mar-91;0.049959414
Abr-91;0.038492953
May-91;0.087132619
Jun-91;0.04292772
Jul-91;0.043557128
Ago-91;0.062846804
set-91;0.064933328
Oct-91;0.037240825
Nov-91;0.046912848
Dic-91;0.031101959
Ene-92;0.05221306
Feb-92;0.024164634
Mar-92;0.06531494
Abr-92;0.041192883
May-92;0.046509008
Jun-92;0.026862553
Jul-92;0.045017622
Ago-92;0.043483712
set-92;0.04172574
Oct-92;0.036878841
Nov-92;0.016942837
Dic-92;0.032807028
Ene-93;0.040018569
Feb-93;0.034889148
Mar-93;0.035866218
Abr-93;0.041273772
May-93;0.047071184
Jun-93;0.040051404
Jul-93;0.030155798
Ago-93;0.040046297
set-93;0.036911938
Oct-93;0.021827904
Nov-93;0.027353835
Dic-93;0.036748351
Ene-94;0.03405783
Feb-94;0.014291106
Mar-94;0.028298397
Abr-94;0.035239994
May-94;0.027594295
Jun-94;0.028094213
Jul-94;0.031622968
Ago-94;0.031314051
set-94;0.034172463
Oct-94;0.034992616
Nov-94;0.039356629
Dic-94;0.032214177
Ene-95;0.032235216
Feb-95;0.017084072
Mar-95;0.035908218
Abr-95;0.035318473
May-95;0.022194248
Jun-95;0.030353723
Jul-95;0.025005659
Ago-95;0.034126856
set-95;0.019061757
Oct-95;0.015125538
Nov-95;0.019495544
Dic-95;0.021588021
Ene-96;0.020260972
Feb-96;0.014980798
Mar-96;0.019173595
Abr-96;0.02845448
May-96;0.020946227
Jun-96;0.012906753
Jul-96;0.016679457
Ago-96;0.021492003
set-96;0.024977581
Oct-96;0.015794037
Nov-96;0.012031074
Dic-96;0.012263252
Ene-97;0.019801453
Feb-97;0.016356239
Mar-97;0.012760658
Abr-97;0.0142
May-97;0.013409584
Jun-97;0.013037556
Jul-97;0.013349981
Ago-97;0.007676997
set-97;0.007994733
Oct-97;0.007744705
Nov-97;0.008425926
Dic-97;0.007345515
Ene-98;0.013945857
Feb-98;0.005843222
Mar-98;0.003932434
Abr-98;0.006053592
May-98;0.005663216
Jun-98;0.00950286
Jul-98;0.01272553
Ago-98;0.007831999
set-98;0.006575576
Oct-98;0.006956817
Nov-98;0.003201618
Dic-98;0.000923826
Ene-99;0.006544722
Feb-99;0.001750584
Mar-99;0.002163602
Abr-99;0.008635722
May-99;0.001564172
Jun-99;0.00065757
Jul-99;0.003860687
Ago-99;0.003682186
set-99;0.000244579
Oct-99;0.003260249
Nov-99;0
Dic-99;0.008611585
Ene-00;0.003785743
Feb-00;0.003370246
Mar-00;0.006158029
Abr-00;0.004371672
May-00;0.00459006
Jun-00;0.004962975
Jul-00;0.00376264
Ago-00;0.005232331
set-00;0.0038844
Oct-00;0.006887479
Nov-00;0.000461148
Dic-00;0.001920565
Ene-01;0.00329704
Feb-01;0.002904089
Mar-01;0.003733902
Abr-01;0.008123292
May-01;0.006325778
Jun-01;-0.004415176
Jul-01;0.008794348
Ago-01;-0.002831384
set-01;0.003063588
Oct-01;0.002681764
Nov-01;0.000817236
Dic-01;0.002895108
Ene-02;0.008734271
Feb-02;0.006677429
Mar-02;0.008819885
Abr-02;0.016112717
May-02;0.011875133
Jun-02;0.017709065
Jul-02;0.04861207
Ago-02;0.058277361
set-02;0.031174165
Oct-02;0.009654839
Nov-02;0.004303132
Dic-02;0.012556534
Ene-03;0.018689392
Feb-03;0.013557953
Mar-03;0.012408925
Abr-03;0.009501855
May-03;0.003731551
