dog_name,birth_year,gender,breed,zipcode
CIONA,2011,F,Havanese,10471
SKYE,2010,F,Unknown,11378
FIONA,2008,F,Unknown,10305
FEIVEL,2010,M,Cotton De Tulear,10010
COCO-NUT,2009,F,Unknown,11222
PHOEBE,2009,F,Labrador Retriever Crossbreed,10014
DENALI,2006,M,Unknown,11379
QUEENY,2008,F,Siberian Husky,11220
BENJAMIN,2003,M,Yorkshire Terrier,11222
DIXIE,2015,F,Pembroke Welsh Corgi,10301
MONKEY,2008,F,Pekingese,10022
JAX,2012,M,"Bull Dog, English",11229
ESSIE,2015,F,Labrador Retriever Crossbreed,10309
BEAR,2012,M,Yorkshire Terrier,10305
KNUCKLES,2015,M,Chihuahua,11238
LEXI,2015,F,American Pit Bull Mix / Pit Bull Mix,10314
LOGAN,2015,M,Yorkshire Terrier,10475
YOGI,2013,M,Australian Shepherd,11362
CASSIDY,2013,F,German Shepherd Dog,11215
VINNY,2007,M,"Dachshund, Long Haired",10465
SCOUT,2007,F,Labrador Retriever,10065
UNKOWN,2015,M,Beagle Crossbreed,11209
ICEE,2010,M,American Pit Bull Mix / Pit Bull Mix,11219
ZOEY,2011,F,American Pit Bull Mix / Pit Bull Mix,10465
TOBY,2015,M,Yorkshire Terrier,11215
BRUNO,2007,M,Shih Tzu,10018
SCOUT,2015,F,Miniature American Shepherd,11102
LYDIA,2012,F,Beagle,11237
FUDGE,2007,M,Havanese,10314
PASS,2006,M,German Shepherd Dog,10025
BELA,2006,F,Unknown,10025
ISABELLA,2005,F,Yorkshire Terrier,11223
BELLE,2004,F,Labrador Retriever Crossbreed,10309
COOKIE,2006,M,Unknown,10009
JUNIOR,2008,M,Miniature Pinscher,11385
PEPE,2010,M,Chihuahua,11372
GIDEGET,2002,F,Schipperkee,10312
HEIDI,2008,F,Unknown,11215
RIVER,2010,M,Collie Crossbreed,11205
MIMI,2009,F,American Pit Bull Terrier/Pit Bull,11224
MILO.,2012,M,Rottweiler,11207
TOBY,2012,M,Silky Terrier,10460
OREO,2012,M,Shih Tzu,10027
MINNIE,2012,F,Pomeranian,11421
RONIN,2013,M,Doberman Pinscher,10016
BRUNO,2013,M,"Poodle, Toy",11697
LULU,2009,F,Pekingese,11374
BASIL,2010,M,Tibetan Spaniel,10002
MRJJ,2007,M,Yorkshire Terrier,10036
NUTMEG,2012,F,Papillon,10003
FLEX,2011,M,Shiba Inu,11214
TOMMY,2015,M,Labrador Retriever,11420
TANK,2014,M,Bulldog,10304
SPIKE,2009,M,American Pit Bull Mix / Pit Bull Mix,10024
KRISSY,2011,F,Shih Tzu,10473
NALA,2012,F,Staffordshire Bull Terrier,10301
HENRY,2000,M,Unknown,10018
ZEKE,2011,M,Labrador Retriever,10309
SCOUT,2006,M,Pug,11209
TESSA,2011,F,Pug,11228
FLUFFY,2007,F,Shih Tzu,10044
ZHANE,2009,M,American Pit Bull Terrier/Pit Bull,10458
MAISY,2010,F,Labrador Retriever,10017
GIGI,2009,F,Papillon,11357
SASHA,2004,F,Havanese,10023
BELLA,2008,F,Unknown,10465
SASHA,2004,F,Maltese,11205
MIDNIGHT,2003,M,Labrador Retriever Crossbreed,10310
ELVIS,2003,M,Pug,11209
LOKI,2002,M,Chihuahua,11375
MINNIE,2003,F,Chihuahua,10305
CJ,2001,M,Chihuahua,11231
MIMI,2007,F,Unknown,11375
BOBWAY,2002,M,Chihuahua,10011
CORDELIA,2005,F,Beagle,10027
POOH,2007,M,Papillon,11105
MILK,2015,F,"Poodle, Toy",11354
PEYTON,2013,F,Italian Greyhound,10019
KONA,2014,F,Golden Retriever,11414
SASHA,2005,F,Shih Tzu,11417
BRUNO,2006,M,Chinese Shar-Pei,11417
RUDY,2009,M,Miniature Pinscher,10029
LUCKY,2005,F,Jack Russell Terrier,10016
SASHA,2010,F,German Shepherd Dog,10306
MOWGLI,2013,M,Labradoodle,10025
DORA,2005,F,Beagle,10002
REKSIO,2015,M,Jack Russell Terrier,11209
SHEKO,2013,M,Shih Tzu,11208
SHORTY,2013,M,Yorkshire Terrier,10452
ASHES,2015,F,American Pit Bull Terrier/Pit Bull,10029
KJ,2015,M,American Pit Bull Terrier/Pit Bull,11434
COBY,2014,M,Boxer,10461
PRECIOSA,2013,F,Yorkshire Terrier Crossbreed,10032
HUNTER,2007,M,Labrador Retriever,10009
GLEE,2016,F,Pug,11355
BARCLAY,2014,F,Miniature Pinscher,11229
THEA,2016,F,Cocker Spaniel,11216
MURPHY,2015,M,Havanese,10312
ROY,2013,M,Akita,10128
NINA,2001,F,Unknown,11370
SHADOW,2002,M,"Poodle, Standard",10312
LITTLEDUKE,2004,M,American Eskimo dog,10465
FRANK,2007,M,Dachshund Smooth Coat,10010
EMPRESS,2008,F,Shih Tzu,10031
DASH,2006,M,Labrador Retriever,10473
SOPHIE,2006,F,Labrador Retriever,10011
BETTE,2002,F,Norwich Terrier,10040
NICKY,2005,M,Unknown,10463
HARLEY,2010,M,Yorkshire Terrier,10314
APOLLO,2007,M,Labrador Retriever,10461
RILEY,2009,F,Australian Shepherd,10463
BROOKLYN,2011,F,American Pit Bull Mix / Pit Bull Mix,11432
CASSIE,2012,F,"Welsh Corgi, Pembroke",11209
DIO,2008,M,Cocker Spaniel,10029
LESTER,2006,M,Chihuahua,11372
COOPER,2005,M,"Poodle, Standard",10011
SANSAN,2011,F,"Dachshund, Long Haired Miniature",11354
LUCY,2010,F,Tibetan Terrier,10002
PICKLE,2007,F,West High White Terrier,10025
JOJO,2012,F,Havanese,10021
MOCHI,2010,M,"Bull Dog, French",11226
ARTIE,2011,M,Chihuahua,10471
NIKA,2013,F,Unknown,11234
WILLIS,2013,M,Australian Cattledog,10009
REX,2013,M,Maltese,10023
LUI,2014,M,Unknown,10469
CALEB,2013,M,Shih Tzu,10473
TEDDY,2015,M,Pomeranian,10009
MOOKIE,2011,M,French Bulldog,11232
DARLA,2013,F,"Poodle, Standard",10065
ARTEMIS,2015,F,Chihuahua Crossbreed,10021
ABIGAIL,2015,F,Unknown,11201
OCEAN,2014,M,Havanese,11415
GIZMO,2014,M,German Shepherd Dog,10028
MARC,2009,M,Pomeranian Crossbreed,11368
BRONN,2014,F,Shiba Inu,11237
LUCY,2013,F,Unknown,11232
LARK,2015,F,Beagle,11379
BEAR,2014,M,Wheaton Terrier,10128
KIKI,2011,F,American Pit Bull Mix / Pit Bull Mix,10025
ROCKY,2013,M,Labrador Retriever,11217
LASSI,2012,F,Labrador Retriever Crossbreed,10022
CHI,2011,M,Chihuahua,11239
LEXINGTON,2012,M,Cavalier King Charles Spaniel,11228
SALSITA,2011,F,Chihuahua,10019
BRITLEY,2001,F,Unknown,10309
ANGEL,2003,F,Shih Tzu,11223
AINM,1999,M,Unknown,10003
PELUCHE,2004,M,Shih Tzu,11420
LEXI,2006,M,"Poodle, Miniature",10028
PRESIOSA,2006,F,Shih Tzu,11231
CASHMERE,2002,M,Unknown,10025
LORENZO,2007,M,"Poodle, Standard",11357
LAYLA,2007,F,Labrador Retriever,10308
LEA,2007,F,Chihuahua,11001
BEBA,2009,F,Pomeranian,11207
SUGAR,2010,F,Yorkshire Terrier,11101
CORKY,2010,M,Yorkshire Terrier,11101
NIKE,2012,M,Shih Tzu,10027
TESS,2004,F,Greyhound,10029
TINKERBELL,2011,F,Maltese,11362
PEPPER,2010,F,"Mastiff, Bull",11218
TARZAN,2009,M,Yorkshire Terrier,11214
JAX,2008,M,German Shepherd Crossbreed,10040
SEDONA,2008,F,Chihuahua,10065
HUGO,2010,M,"Pointer, German Shorthaired",10023
CHARLIE,2010,F,Labrador Retriever,10023
PATCHES,2010,F,Cocker Spaniel,11214
NATASHA,2011,F,Dachshund Smooth Coat,10306
SPOT,2006,M,Unknown,10036
LEO,2009,M,German Shepherd Dog,11229
DUCHESS,2008,F,German Shepherd Dog,11375
SMOKEY,2008,F,Dalmatian,11229
PONZI,2008,M,Boston Terrier,11231
ZORRO,2004,M,Unknown,10304
CINDERELLA,2003,F,Shih Tzu,10016
JINGLES,2004,F,Unknown,11357
MAX,2004,M,Lhasa Apso,11377
DIAMOND,2005,F,Unknown,11375
BEBO,2005,M,Unknown,10035
FARFEL,2004,M,Pug,11234
SKY,2002,F,Labrador Retriever,11226
PAULIE,2002,M,Unknown,10314
DOC,2006,M,Rottweiler,10312
COCO,2006,M,Maltese,10017
FRANKIE,2006,F,Jack Russell Terrier,10024
JOY-ANNE,2002,F,Unknown,10036
ZIM,2002,F,Chihuahua,10011
PEANUT,2006,M,Chihuahua,11235
SAILOR,2002,F,Golden Retriever,10011
ABBEY,2005,F,Unknown,10128
MARCELLO,2007,M,Havanese,10301
SALLY,2004,F,Unknown,11209
FENDI,2007,F,Siberian Husky,11223
CLEO,2015,F,Thai Ridgeback,11358
ROSITA,2014,F,Chihuahua,11103
TOBY,2014,M,Chihuahua,11206
ODETTE,2011,F,Chihuahua,10014
ABBY,2010,F,"Schnauzer, Miniature",10307
BICKY,2010,F,Unknown,10011
MIA,2008,F,Unknown,11207
AVA,2013,F,Rottweiler,10312
PRADA,2012,F,American Pit Bull Mix / Pit Bull Mix,11238
TOLLIVER,2013,M,"Schnauzer, Miniature",11109
FRANK,2013,M,"Collie, Border",10024
MINNIE,2012,F,Chihuahua,10034
IMI,2009,F,Puli,10009
SAMIRA,2015,F,Havanese,11224
MISTER,2015,M,Bull Terrier,10455
BLU,2015,F,Morkie,10463
LITTLE,2013,F,Chihuahua,10009
OLIVER,2010,M,Goldendoodle,10282
COOKIE,2012,F,Shih Tzu Crossbreed,10010
CHERRY,2011,F,Golden Retriever,10304
EDDIE,2009,M,Yorkshire Terrier,10002
TEAGAN,2014,M,Yorkshire Terrier,11206
BOI,2012,M,Miniature Schnauzer,10452
HENRY,2008,M,Brittany,10009
ONYX,2015,M,Shih Tzu,11692
CHINA,2011,F,Shih Tzu,11692
HEDY,2012,F,Unknown,10035
BUDDY,2015,M,American Staffordshire Terrier,10029
DAWN,2010,F,Alaskan Malamute,10459
ZORRO,2015,M,Jack Russell Terrier,10025
MARSHALL,2014,M,French Bulldog,11417
HOPS,2013,M,Pomeranian,10029
LUNA,2015,F,Labrador Retriever,10309
TONG,2015,M,Labrador Retriever,11372
ZEB,2014,M,Smooth Fox Terrier,11231
FLUFFY,2012,F,Shih Tzu,10034
WATSON,2010,M,"Schnauzer, Standard",10463
ZIGGY,2004,M,Chihuahua,11378
TONKA,2005,F,Unknown,11691
ANASTASIA,2006,F,Italian Greyhound,10019
ROCKY,2009,M,American Pit Bull Terrier/Pit Bull,10003
DAPPER,2013,M,"Dachshund, Long Haired",10305
BUG,2014,M,Chihuahua,11201
SHADOW,2013,M,"Poodle, Toy",10462
MOLLY,2007,F,Unknown,10312
BRIENNE,2011,F,Chihuahua,10029
ZUCCARELLO,2015,M,Unknown,11214
MURPHY,2014,M,Unknown,10028
PRINCE,2010,M,Shih Tzu,10301
FOSTER,2003,F,Labrador Retriever,10306
SHEBA,2003,F,Cocker Spaniel,10027
TYSON,2005,M,American Pit Bull Terrier/Pit Bull,10009
RUBY,2004,F,Yorkshire Terrier,11361
P.J.,2003,M,Wire Fox Terrier,11208
DIXIE,2004,F,Unknown,10308
SNOWBALL,2004,F,Bichon Frise,11207
DIAMOND,2006,F,Jack Russell Terrier,11385
ROCKY,2002,M,Unknown,10019
ROXANNE,2003,F,"Poodle, Standard",10065
PEPSI,2005,M,Maltese,10128
SHEEBA,2005,F,American Pit Bull Mix / Pit Bull Mix,10011
STELLA,2008,F,Cotton De Tulear,10021
SUTTON,2007,M,Chihuahua,10065
JACK,2010,M,Unknown,10471
CHARLOTTE,2012,F,Yorkshire Terrier,10007
BODHI,2009,M,Unknown,10011
RIZO,2004,M,Unknown,11377
SHADOW,2012,F,Australian Cattledog,11230
TOYO,2010,M,Cocker Spaniel,11378
IGGY,2008,M,Golden Retriever,10013
SKYLER,2009,M,"Collie, Border",11364
ROCKY,2005,M,American Staffordshire Terrier,11362
SOPHIE,2009,F,Labrador Retriever Crossbreed,11364
MANCHAS,2009,M,Australian Shepherd,10463
SANDI,2003,F,"Jindo Dog, Korea",10306
MIRANDA,2007,F,Maltese,10009
COCO,2015,M,German Shepherd Dog,10314
TUFFI,2014,F,Poodle,10463
WOLFIE,2015,M,Maltese Crossbreed,10027
CRICKET,2014,F,Maltipoo,11205
LOLA,2015,F,Labrador Retriever,10005
WINTER,2014,F,Shih Tzu,11694
POOKIE,2010,F,Maltese,10075
ORA-LUNA,2016,F,Rottweiler,10314
MACKIE,2002,M,Lhasa Apso,11231
BENJAMIN,2010,M,Smooth Fox Terrier,11231
POD,2007,M,Greyhound,10065
ALICE,2010,F,Cocker Spaniel,10069
HARRY,2014,M,Cavalier King Charles Spaniel,10280
ROCCO,2014,M,"Poodle, Toy",10022
BELLA,2015,F,German Shepherd Dog,11427
ZARA,2014,F,Chihuahua,11206
ZOE,2013,F,Lhasa Apso,10065
COSMO,2009,M,West High White Terrier,10023
BUTCH,2012,M,Rottweiler,11418
SOPHIE,2012,F,Golden Retriever,10040
WALLEE,2009,M,Maltese,10312
GEORGE,2004,M,Pug,10002
CUDDLES,2007,F,Yorkshire Terrier,10027
HUNTER,2013,M,Labrador Retriever Crossbreed,11215
PEANUT,2005,M,Chihuahua,10009
THOR,2004,M,Scottish Terrier,10019
RINGO,2001,M,Unknown,11231
BOU,2004,M,Yorkshire Terrier,11217
MARBLES,2005,F,Havanese,10308
DIAMOND,1999,F,"Poodle, Toy",11222
PERCY,2005,M,Labrador Retriever,11219
SPARKY,2007,M,"Poodle, Miniature",10307
ALLEY-KAT,2004,F,Greyhound,11215
DIESEL,2006,M,Pug,10307
NICOLETTE,2006,F,Unknown,10020
PRINCE,2006,M,Shih Tzu,11228
CHAZ,2006,M,Cocker Spaniel,10029
NEWMAN,2009,M,"Schnauzer, Miniature",10307
DUMBO,2010,M,Dachshund Smooth Coat,11354
PERSIA,2008,F,Unknown,10025
MILEY,2011,F,Unknown,10310
BRANLEY,2005,M,Beagle,11214
MARLEY,2008,M,"Poodle, Toy",10459
BLAZE,2010,M,Golden Retriever,10310
TEDDY,2009,M,Unknown,10001
HOBBS,2008,M,Wheaton Terrier,10010
ALFIE,2002,M,Terrier mix,10452
GUNNAR,2014,M,Labrador Retriever Crossbreed,10030
BLACKY,2012,M,Chihuahua,10032
KING,2014,M,Yorkshire Terrier Crossbreed,11693
MOLLY,2010,F,Wheaton Terrier,11206
GUNTHER,2008,M,Labrador Retriever,11215
LILLY,2015,F,Cavalier King Charles Spaniel,11357
SKIP,2015,M,German Shepherd Dog,10029
MAXIMUS,2008,M,Maltese,10312
STONE,2009,M,American Pit Bull Terrier/Pit Bull,11378
SARGE,2010,M,Siberian Husky,11363
WYNTER,2011,F,Unknown,10458
DOMINO,2007,F,Chihuahua,11105
TORI,2009,F,Unknown,10314
MICKEY,2009,M,Maltese,11212
CRISTINA,2001,F,Maltese,10022
LILLIE,2006,F,Basenji,10303
FRIDAY,1999,F,Pomeranian,10025
DARLA,2004,F,Scottish Terrier,10019
LISA,2004,F,"Pointer, German Shorthaired",11378
CHEWY,2003,M,Silky Terrier,11356
MIKA,2005,F,Yorkshire Terrier,11209
CHIPPY,2006,M,Pomeranian,10463
TAFFY,2007,F,German Shepherd Crossbreed,11236
MAX,2007,M,American Pit Bull Terrier/Pit Bull,11206
JACK,2007,M,Unknown,11215
ROMEO,2006,M,Shih Tzu,11228
SPARKLES,2006,F,Labrador Retriever,10303
ZIPPY,2005,F,Unknown,10128
HA''ZEL,2007,M,American Pit Bull Terrier/Pit Bull,10031
PARKIE,2014,M,Border Terrier,11213
CHARLIE,2011,M,Beagle,10069
DUKE,2013,M,"Coonhound, Black and Tan",10024
EDISON,2013,M,Collie Crossbreed,11220
DAKOTA,2013,F,Bernese Mountain Dog,10469
MOE,2012,M,Unknown,10306
NACHO,2002,M,Unknown,11238
BABY,2003,F,"Poodle, Miniature",11210
PANDORA,2004,F,Labrador Retriever Crossbreed,11357
LOKI,2003,M,Samoyed,10012
KISSIE,2004,F,Maltese,11234
BELLA,2003,F,Unknown,11222
TARA,2007,F,Unknown,10314
GUS,2010,M,Labrador Retriever Crossbreed,11375
MAX,2011,M,Golden Retriever,11374
HAMILTON,2011,M,Unknown,10009
KYLIE,2002,F,Labradoodle,10023
CYPRESS,2011,M,"Poodle, Miniature",10021
DOPEY,2011,M,Unknown,10016
BOSCO,2008,M,Yorkshire Terrier,10312
DU,2010,M,Unknown,11375
MILO,2014,M,Siberian Husky,10018
NOO,2004,F,Beagle,11225
TEDDI,2011,M,Unknown,10016
PUPPY,2012,M,American Pit Bull Terrier/Pit Bull,11208
SILVER,2013,F,German Shepherd Dog,10312
JIMMY,2013,M,Jack Russell Terrier,11201
JACKIE,2014,F,Jack Russell Terrier,10009
PRINCESS,2013,F,Portuguese Water Dog,11238
BRAHMS,2015,M,German Shepherd Dog,11201
EL,2015,M,American Pit Bull Mix / Pit Bull Mix,10002
BUSTER,2013,M,American Staffordshire Terrier,11379
MALIA,2013,F,Bull Terrier,11374
FLOYD,2014,M,American Pit Bull Terrier/Pit Bull,11211
BROOK,2015,F,American Pit Bull Terrier/Pit Bull,11236
AUDETTE,2009,F,Labrador Retriever,11372
MOOKEE,2015,M,Shih Tzu Crossbreed,10309
TATIANA-JOLIE,2010,F,Yorkshire Terrier Crossbreed,10462
FOXY,2016,F,Puggle,11208
SADIE,2014,F,Puggle,10010
ARIA,2011,F,American Bully,10036
SCOUT,2014,M,Labrador Retriever,10014
DOBBY,2015,M,Miniature Pinscher,11221
BELLA,2010,F,Shih Tzu,11203
BELLA,2013,F,Yorkshire Terrier,10472
WILLIOW,2013,F,Labrador Retriever,11377
KEEGAN,2013,M,Belgian Malinois,11209
COSIMO,2008,M,Havanese,10021
BLUEBELL,2014,F,"Collie, Border",10002
SPIKEY,2010,M,Miniature Pinscher,11421
BRUNO,2012,M,Havanese,10280
TINA,2012,F,Yorkshire Terrier,11374
IZZY,2012,F,Doberman Pinscher,11214
SAMSON,2013,M,Yorkshire Terrier,10024
EMMA,2014,F,Jack Russell Terrier,10024
HARVEY,2009,M,Chihuahua,11235
SOPHIE,2015,F,Pug,10009
CHLOE,2003,F,English Cocker Spaniel,10021
STARBUCK,2014,F,Shiba Inu,11201
SHADOW,2014,M,Chihuahua,10039
PICKLES,2009,F,Unknown,10308
FIONA,2007,F,Cocker Spaniel,11234
BUDDY,2009,M,Lhasa Apso,11692
PIFAS,2008,M,Unknown,11238
NORDIC,2007,M,Labrador Retriever,10065
ROUGHY,2009,M,West High White Terrier,10022
CHERISH,2008,F,Bichon Frise,11204
REX,2011,M,Cavalier King Charles Spaniel,11222
SAMSON,2011,M,Unknown,11377
SWAGGER,2010,M,Shih Tzu,10029
NIKO,2010,M,"Bull Dog, French",11206
CASH,2009,M,Unknown,11105
ZUKO,2011,M,German Shepherd Dog,11412
LACEY,2008,F,Maltese,10010
MISSY,2010,F,"Schnauzer, Miniature",10001
PENNY,2010,F,Unknown,10306
COCO,2011,F,Unknown,11219
NICO,2010,M,Unknown,10475
OLIVER,2011,M,Unknown,11218
JINX,2007,M,Pomeranian,11223
SNOWBALL,2007,M,Maltese,10309
LUCY,2007,F,Unknown,11224
BELLA,2007,F,"Bull Dog, French",11374
OTTO,2006,M,"Collie, Border",11217
LILY,2004,F,Unknown,10075
ZOLA,2005,M,Unknown,10021
LOLA,2004,F,"Poodle, Miniature",10040
DOLLY,1999,F,"Poodle, Toy",11373
JORDAN,2013,M,Wire Fox Terrier,11364
TUXEDO,2014,M,"Bull Dog, French",11201
HOMER,2014,M,Labradoodle,10024
ODIE,2012,M,Unknown,11432
STAR,2012,F,Boxer,10002
SHAZIM,2013,F,German Shepherd Dog,11208
JAX,2014,M,"Schnauzer, Miniature",10310
STYLES,2012,F,American Pit Bull Mix / Pit Bull Mix,11215
MAMBO,2007,M,Chihuahua,11225
BANJO,2015,M,Plott,11361
VITO,2006,M,Unknown,11378
BEBE,2005,M,Maltese,11228
TRITON,2007,M,American Pit Bull Terrier/Pit Bull,11207
TUCKER,2005,M,Bichon Frise,11364
HONEY,2004,F,American Pit Bull Terrier/Pit Bull,11364
LUNA,2007,F,"Poodle, Standard",11418
MICKI,2004,F,Lhasa Apso,10029
JACKSON,2005,M,Labrador Retriever,10036
SADIE,2001,F,"Schnauzer, Giant",11231
TOTO,2003,M,Unknown,10462
ABBY,1999,F,Pug,10011
CALI,2002,F,Beagle,10009
MOLLIE,2001,F,Unknown,10014
COCO,2001,M,Yorkshire Terrier,10303
BACI,2009,M,Yorkshire Terrier,10312
LARA,2009,F,Golden Retriever,11234
MERCEDES,2006,F,Unknown,11434
EARL,2006,M,Labrador Retriever Crossbreed,11201
CODY,2009,M,Unknown,10303
ELLIE,2005,F,Unknown,10065
PRINCESS,2008,F,"Schnauzer, Miniature",11228
MAX,2003,M,Labrador Retriever Crossbreed,11694
GUS,2008,M,Unknown,10314
REILLY,2007,F,Unknown,10012
DAKOTA,2012,M,Brittany Spaniel,10312
RUSTY,2005,M,Unknown,10128
BELLA,2010,F,Cocker Spaniel,11236
EMME,2008,F,Unknown,10009
ZIGGY,2010,M,Unknown,11216
APOLLO,2010,M,German Shepherd Dog,10312
MARNIE,2007,F,Labrador Retriever Crossbreed,11215
DINO,2014,M,Chihuahua Crossbreed,11234
LILY,2015,F,Cocker Spaniel,11421
BEAR,2010,M,Labrador Retriever,11697
MAIA,2015,F,Catahoula Leopard Dog,10023
KING,2015,M,Bulldog,11221
JACK,2013,M,Great Pyrenees,11209
MAGGIE,2007,F,German Shepherd Dog,10307
TORI,2015,F,Pomeranian,11415
MOCHA,2015,F,American Bully,11691
BELLA,2010,F,Beagle Crossbreed,10024
PEACHES,2008,F,Shih Tzu,11214
CHARLIE,2004,M,Labrador Retriever Crossbreed,11694
MOLLY,2008,F,Chihuahua,10465
LUCY,2011,F,Unknown,10040
NINA,2000,F,"Poodle, Toy",10023
JOJO,2010,M,Maltese,10065
TEDDIE,2010,F,Yorkshire Terrier,11436
MICKEY,2011,M,"Poodle, Miniature",11230
CLIFFORD,2008,M,Unknown,11215
CIPRELLO,2006,F,American Pit Bull Mix / Pit Bull Mix,10306
KOKO,2006,M,Shih Tzu,11385
PRANCER,2008,M,Pomeranian,10022
CHIRIPA,2007,F,Chihuahua,10019
AUGIE,2006,F,Unknown,10314
BUDDY,2001,M,Labrador Retriever,10036
ALLEY,2003,F,Unknown,10035
NINA,2013,F,Unknown,10036
MAGGIE,2012,F,Unknown,11207
MAXIE,2013,M,Unknown,11109
TOFFEE,2014,F,Unknown,10069
ROXY,2013,F,Golden Retriever,10011
SPARKLES,2012,F,Shih Tzu,10456
ROXY,2012,F,Rottweiler,11355
FRANKIE,2013,F,Australian Shepherd,11211
ETTA,2011,F,Labrador Retriever,11211
BIANCA,2007,F,"Poodle, Standard",10459
MARLEY,2012,M,Yorkshire Terrier,11364
LURSA,2012,F,Unknown,10304
LUCY,2012,F,American Pit Bull Mix / Pit Bull Mix,10022
MARIAH,2014,F,Shih Tzu,10468
CHICO,2012,M,Chihuahua,10469
NINJA,2015,M,Chihuahua Crossbreed,10037
MIA,2015,F,Bulldog,10306
REMO,2012,M,Belgian Malinois,11205
BAILEY,2005,M,Chihuahua,11205
LEO,2015,M,Yorkshire Terrier Crossbreed,10451
CHLOE,2002,F,Yorkshire Terrier,11219
ELLIE,2012,F,Terrier mix,11375
PINTA,2009,F,Italian Greyhound,11238
PANDA,2016,F,Boxer,11249
MIA,2004,F,German Shepherd Dog,10307
MINI,2007,F,Chihuahua,10465
COCO,2009,F,Beagle,11228
CLAIRE,2010,F,Cavalier King Charles Spaniel,11222
SOPHIA,2009,F,Shih Tzu,11234
CHARLIE,2005,M,Cocker Spaniel,10471
SCOOBY,2009,M,Unknown,10305
TEDDY,2008,M,Shih Tzu,10309
LUCKY,2008,M,"Schnauzer, Miniature",11354
MADISON,2008,F,Unknown,10021
LEONARDO,2008,M,Unknown,10021
MAGNUM,2008,M,"Coonhound, Black and Tan",11694
SAMMI,2011,M,American Eskimo dog,10019
LULU,2011,F,Collie Crossbreed,10025
CLEMENTINA,2003,F,Italian Greyhound,10012
LILY,2011,F,"Pointer, German Wirehaired",11215
MISSY,2011,F,American Pit Bull Terrier/Pit Bull,11221
LENA,2007,F,Beagle,11105
CHUPA,2008,M,Havanese,10021
RENO,2004,M,Siberian Husky,10019
RUBY,2006,F,Unknown,10023
CHEWEE,2006,M,Yorkshire Terrier,11366
MONEY,2006,F,Unknown,10007
SYDNEY,2002,F,Bichon Frise,11385
DAISY,2000,F,Unknown,10028
BELLA,2005,F,Lhasa Apso,10314
BRETTA,2004,F,American Staffordshire Terrier,11433
DUSTY,2004,M,"Poodle, Standard",10034
JAX,2014,M,Chihuahua,10010
FIGA,2013,F,Dachshund,11222
GUINNESS,2013,M,American Pit Bull Mix / Pit Bull Mix,10461
DEMPSEY,2012,M,American Staffordshire Terrier,10065
MOCCINA,2014,F,Australian Shepherd,11357
JOEY,2006,M,Maltese,11378
GABBY,2014,F,Jack Russell Terrier,10003
NOODLES,2009,M,Pomeranian,11436
BRIAN,2006,M,Unknown,11377
BACI,2013,M,Havanese,10306
MIKEY,2010,M,Unknown,10466
BECKY,2003,F,Golden Retriever,10023
PEONY,2012,F,Unknown,10031
SCOUT,2012,M,Australian Cattledog,10025
PEARL,2008,F,Cocker Spaniel,11230
BELLA,2012,F,Vizsla,11238
ADIDI,2002,F,Unknown,10023
DUSTY,2015,M,German Shepherd Dog,10037
HUDSON,2016,M,Australian Shepherd,11215
HARLEY,2015,F,Labrador Retriever,11379
AXELLE,2010,F,Brussels Griffon,10022
HERSHEY,2015,F,Bernese Mountain Dog,10024
MICHAEL,2013,M,Shih Tzu,11206
LOKI,2015,M,Australian Shepherd,10128
CHRISTIAN,2011,M,Cocker Spaniel,11212
LUCY,2016,F,French Bulldog,10016
FAMA,2003,F,Jack Russell Terrier,11355
IAN,2015,M,Shih Tzu Crossbreed,11691
LAYLA,2007,F,Newfoundland,11209
BELLA,2014,F,Unknown,10029
BIRDIE,2015,F,Tibetan Terrier,10011
DUNKIN,2015,M,Shiba Inu,11201
BROWNEE,2010,M,"Dachshund, Long Haired Miniature",10035
FLETCHER,2007,M,Miniature Schnauzer,10009
HEAVEN,2016,F,Maltese Crossbreed,10457
LEXIE,2010,F,German Shepherd Dog,10307
MELLOW,2014,M,German Shepherd Dog,10305
BIZU,2014,F,Unknown,10028
DAVY,2012,M,Australian Cattledog,11215
COOPER,2013,M,Unknown,11230
BAILEY,2013,F,Unknown,10306
JUNIE,2013,F,Cavalier King Charles Spaniel,11215
MARSHMALLOW,2009,F,Bichon Frise,11377
ANGEL,2012,M,Dachshund Smooth Coat,11215
SAMMIE,2012,F,Golden Retriever,10024
BEAR,2013,F,Havanese,10025
OLIVER,2011,M,"Dachshund, Long Haired Miniature",11385
BRANDI,2015,F,Boxer,10314
ROXY,2007,F,Rottweiler,10305
SPONGE,2015,M,Labrador Retriever,11235
KEEMO,2013,M,Siberian Husky,11209
WINTER,2013,F,Maltese,10465
OZZY,2007,M,Labrador Retriever Crossbreed,10314
LUKE,2007,M,Maltese,11357
SONNY,2007,M,Bichon Frise,11105
ROCCO,2006,M,Unknown,11378
MAX,2001,M,Unknown,10029
KIRBY,2003,M,Labrador Retriever Crossbreed,10302
FINNY,2001,M,Australian Shepherd,10023
ELSA,2003,F,American Pit Bull Terrier/Pit Bull,11224
JAKE,2005,M,Shih Tzu,10465
BAILEY,2005,M,Jack Russell Terrier,11357
NIKKI,2007,F,American Pit Bull Mix / Pit Bull Mix,10027
LADY,2000,F,Bichon Frise,11361
MAX,2008,M,American Pit Bull Terrier/Pit Bull,10025
GIZMO,2009,M,Cavalier King Charles Spaniel,10303
