dog_name,birth_year,gender,breed,zipcode
ROSIE,2013,F,Labradoodle,10013
CHAUNCEY,2006,M,Shih Tzu,10463
MICA,2005,F,Unknown,11222
RIGGINS,2011,F,American Pit Bull Mix / Pit Bull Mix,10023
JELLY,2014,F,German Shepherd Crossbreed,11364
ANDY,2013,F,Cocker Spaniel,11201
MAGGIE,2013,F,Labrador Retriever,10023
SOLO,2008,M,American Pit Bull Mix / Pit Bull Mix,11234
ZOE,2004,F,Havanese,11231
HANNAH,2014,F,"Schnauzer, Miniature",10019
CHANCE,2008,M,Border Terrier,11234
PATCH,2004,M,Maltese,10016
WOODY,2010,M,Unknown,11205
STELLA,2013,F,Border Collie,11377
MIA,2011,F,Yorkshire Terrier,11222
CHASE,2007,M,Shih Tzu,11228
DAISY,2014,F,"Poodle, Miniature",10038
FIONA,2013,F,Boston Terrier,10128
LEXY,2007,F,Yorkshire Terrier,10314
DAKOTA,2014,F,Vizsla,10003
PARKER,2014,M,Beagle Crossbreed,10309
STORM,2012,F,Labrador Retriever,11209
LEOPOLD,2008,M,Beagle,10023
EVEYLYN,2008,F,French Bulldog,10011
NENA,2007,F,Chihuahua,10473
PIPER,2014,F,Pointer,10012
JULIUS,2008,M,Australian Cattledog,11215
CHUNK,2011,M,"Bull Dog, French",10011
IVORY,2004,F,"Poodle, Toy",10461
SPEEDY,2007,M,Unknown,11234
BAMBA,2011,M,French Bulldog,11201
BEAR,2013,M,Shiba Inu,10014
TED,2011,M,American Pit Bull Mix / Pit Bull Mix,11206
ALI,2009,M,Unknown,10314
RUMI,2011,M,Unknown,10021
OREO,2005,F,Havanese,10026
LAWRENCE,2010,M,American Pit Bull Terrier/Pit Bull,10025
SPIKE,2012,M,Unknown,10023
MASON,2014,M,American Pit Bull Terrier/Pit Bull,10032
PRINCESS,2008,F,Yorkshire Terrier,11102
CHOCOLATE,2007,F,American Pit Bull Terrier/Pit Bull,11208
BROOKLYN,2011,F,Unknown,10003
WEEZY,2006,M,American Pit Bull Mix / Pit Bull Mix,10040
LOLA,2014,F,Labrador Retriever,10040
DEMO,2009,M,Havanese,11365
ABBEY,2013,F,Weimaraner,11694
EMMA,2013,F,Vizsla,11694
GRAYSON,2012,M,Chihuahua,11221
BO,2011,M,Maltese,11372
ANGEL,2003,F,Unknown,10469
COCO,2008,F,German Shepherd Dog,11221
PORK,2011,F,"Bull Dog, English",10019
BONNIE,2009,F,Maltese,11358
