Year;S&P500;3-month_T.Bill;US_Tbond; Baa;Real Estate;Gold
2008;-0.365523441;0.013713147;0.201012799;-0.035403099;-0.119956386;0.043178411
2009;0.259352339;0.0015052;-0.111166953;0.202096496;-0.038552558;0.250359299
2010;0.148210923;0.001384462;0.084629339;0.094104971;-0.041128021;0.292413793
2011;0.020983747;0.0005284;0.16035335;0.122629113;-0.038853177;0.120241907
2012;0.158905852;0.000876;0.02971572;0.093270633;0.064371745;0.056843442
2013;0.321450859;0.0005708;-0.091045688;-0.009827891;0.107132183;-0.276141827
2014;0.135244216;0.0003272;0.107461805;0.107817752;0.045071006;0.00124533
2015;0.013788916;0.000520319;0.012842997;-0.015008532;0.052000168;-0.12106136
2016;0.117730809;0.0031612;0.006905505;0.115244739;0.053044536;0.081037736
2017;0.216054814;0.0093412;0.028017163;0.092339051;0.062069564;0.12662536
2018;-0.042268693;0.019363052;-0.000166924;-0.032694197;0.045192288;-0.00929512
2019;0.3121168;0.0206248;0.096356307;0.152477658;0.036858278;0.190774042
2020;0.180232018;0.00354741;0.113318976;0.106011875;0.10432136;0.241694025
2021;0.284688518;0.000450199;-0.044160344;0.009334446;0.18874952;-0.037544286
2022;-0.180375059;0.020247791;-0.178281715;-0.151440786;0.056677111;0.005494204
2023;0.26060685;0.050703614;0.0388;0.087356722;0.06292647;0.132621168
