"log.WR","age","age2","sex","race","marital","hs","assoc","coll","grad"
2.48650793115497,28,784,"F","Black","Married",TRUE,FALSE,FALSE,NA
1.8773173575897,31,961,"M","White","Single",FALSE,FALSE,TRUE,NA
3.09627350277587,50,2500,"M","White","Married",FALSE,TRUE,FALSE,NA
2.90521826601316,49,2401,"F","White","Married",FALSE,TRUE,FALSE,NA
2.95651156040071,53,2809,"M","White","Married",FALSE,FALSE,TRUE,NA
2.66882948794893,50,2500,"F","White","Married",FALSE,FALSE,TRUE,NA
3.72197940254028,53,2809,"M","White","Married",FALSE,FALSE,TRUE,NA
3.62434093297637,51,2601,"F","White","Married",FALSE,FALSE,TRUE,NA
1.83258146374831,33,1089,"F","Black","Single",TRUE,FALSE,FALSE,NA
2.86950018341108,42,1764,"M","White","Married",FALSE,FALSE,FALSE,NA
1.33382842121659,43,1849,"F","White","Married",FALSE,TRUE,FALSE,NA
2.48650793115497,41,1681,"M","White","Married",TRUE,FALSE,FALSE,NA
2.09428804979683,27,729,"M","White","Married",TRUE,FALSE,FALSE,NA
1.46485668362299,28,784,"F","White","Married",TRUE,FALSE,FALSE,NA
2.44568593663472,30,900,"M","Black","Married",FALSE,FALSE,TRUE,NA
2.55258373161143,29,841,"F","Black","Married",FALSE,FALSE,FALSE,NA
2.52572864430826,49,2401,"M","White","Separated",FALSE,FALSE,FALSE,NA
2.04022082852655,37,1369,"M","White","Divorced",TRUE,FALSE,FALSE,NA
3.29298379702192,41,1681,"M","White","Divorced",FALSE,FALSE,TRUE,NA
2.5570511154373,53,2809,"F","Black","Single",FALSE,FALSE,TRUE,NA
1.988927534139,31,961,"F","Other","Single",FALSE,FALSE,FALSE,NA
2.19615563014731,28,784,"M","Other","Single",TRUE,FALSE,FALSE,NA
3.02883222198034,27,729,"F","White","Divorced",FALSE,TRUE,FALSE,NA
2.66882948794893,44,1936,"M","Black","Married",FALSE,FALSE,TRUE,NA
2.66882948794893,41,1681,"F","Black","Married",FALSE,TRUE,FALSE,NA
1.51892390489327,32,1024,"F","Black","Separated",FALSE,TRUE,FALSE,NA
2.52572864430826,41,1681,"M","White","Married",TRUE,FALSE,FALSE,NA
2.01490302054226,41,1681,"F","White","Married",TRUE,FALSE,FALSE,NA
2.96196541108317,50,2500,"F","Black","Married",FALSE,FALSE,FALSE,NA
2.81341071676004,32,1024,"M","Black","Single",TRUE,FALSE,FALSE,NA
2.61274002129789,41,1681,"M","White","Divorced",FALSE,TRUE,FALSE,NA
2.70805020110221,25,625,"M","Black","Single",FALSE,TRUE,FALSE,NA
2.95651156040071,58,3364,"M","White","Widow",FALSE,FALSE,FALSE,NA
2.08467259109739,40,1600,"M","White","Married",FALSE,TRUE,FALSE,NA
2.48650793115497,36,1296,"F","White","Married",FALSE,FALSE,TRUE,NA
2.18480205733766,32,1024,"M","White","Single",FALSE,TRUE,FALSE,NA
1.75253875607477,25,625,"F","Other","Married",TRUE,FALSE,FALSE,NA
2.36294824272114,52,2704,"F","White","Married",FALSE,TRUE,FALSE,NA
2.15800386418294,44,1936,"M","White","Married",FALSE,FALSE,TRUE,NA
2.48650793115497,46,2116,"F","Black","Divorced",FALSE,FALSE,FALSE,NA
2.48650793115497,25,625,"M","White","Married",FALSE,FALSE,FALSE,NA
2.28868218782505,25,625,"F","White","Married",TRUE,FALSE,FALSE,NA
2.33235725132772,47,2209,"M","White","Married",FALSE,TRUE,FALSE,NA
2.90521826601316,44,1936,"F","White","Married",FALSE,TRUE,FALSE,NA
2.85115104474288,33,1089,"M","White","Single",TRUE,FALSE,FALSE,NA
1.93486031286873,30,900,"F","Other","Divorced",FALSE,FALSE,TRUE,NA
2.82298016777619,46,2116,"M","White","Divorced",TRUE,FALSE,FALSE,NA
1.97568230738898,43,1849,"F","White","Divorced",FALSE,FALSE,FALSE,NA
2.10084545034299,23,529,"M","White","Single",TRUE,FALSE,FALSE,NA
1.78992628814639,18,324,"F","White","Single",TRUE,FALSE,FALSE,NA
1.87032179173116,32,1024,"F","Black","Single",TRUE,FALSE,FALSE,NA
2.80277746045867,51,2601,"F","White","Divorced",FALSE,FALSE,FALSE,NA
1.75253875607477,24,576,"M","White","Married",FALSE,TRUE,FALSE,NA
2.62800749342867,28,784,"F","White","Married",FALSE,FALSE,FALSE,NA
2.99573227355399,55,3025,"F","White","Married",FALSE,TRUE,FALSE,NA
1.75253875607477,43,1849,"M","Other","Married",FALSE,FALSE,FALSE,NA
2.26336437984076,36,1296,"F","Black","Married",FALSE,TRUE,FALSE,NA
2.04022082852655,28,784,"M","White","Married",FALSE,FALSE,FALSE,NA
1.96899331923819,25,625,"F","White","Married",FALSE,FALSE,FALSE,NA
1.96165850602345,33,1089,"M","White","Single",FALSE,TRUE,FALSE,NA
2.35867455964509,49,2401,"F","Black","Divorced",FALSE,TRUE,FALSE,NA
1.92028704416742,30,900,"F","Black","Single",FALSE,TRUE,FALSE,NA
1.82812711339893,43,1849,"F","White","Divorced",FALSE,TRUE,FALSE,NA
2.04022082852655,31,961,"F","White","Divorced",TRUE,FALSE,FALSE,NA
1.79175946922805,48,2304,"F","White","Married",FALSE,FALSE,TRUE,NA
1.83258146374831,20,400,"F","White","Single",TRUE,FALSE,FALSE,NA
1.79336075059503,48,2304,"F","Black","Divorced",FALSE,FALSE,FALSE,NA
2.99573227355399,29,841,"M","White","Single",FALSE,TRUE,FALSE,NA
2.48650793115497,30,900,"F","White","Married",FALSE,TRUE,FALSE,NA
1.8578992717326,34,1156,"F","White","Separated",TRUE,FALSE,FALSE,NA
2.56209628847913,24,576,"M","White","Separated",FALSE,FALSE,FALSE,NA
2.7333680090865,56,3136,"M","White","Single",FALSE,TRUE,FALSE,NA
2.40312632221592,21,441,"M","White","Single",TRUE,FALSE,FALSE,NA
2.90521826601316,56,3136,"M","White","Married",FALSE,TRUE,FALSE,NA
2.23804657185647,49,2401,"F","White","Married",FALSE,TRUE,FALSE,NA
1.71479842809193,28,784,"M","White","Single",FALSE,TRUE,FALSE,NA
3.52636052461616,43,1849,"M","Black","Married",FALSE,FALSE,TRUE,NA
2.83321334405622,44,1936,"F","Black","Married",FALSE,TRUE,FALSE,NA
3.1994577390111,36,1296,"M","White","Married",TRUE,FALSE,FALSE,NA
1.64717824041695,33,1089,"F","White","Married",TRUE,FALSE,FALSE,NA
3.09627350277587,55,3025,"M","Black","Married",TRUE,FALSE,FALSE,NA
1.93486031286873,55,3025,"F","Black","Married",TRUE,FALSE,FALSE,NA
2.42036812865043,20,400,"F","Black","Single",FALSE,TRUE,FALSE,NA
2.52572864430826,20,400,"M","Black","Single",FALSE,TRUE,FALSE,NA
3.00962138571466,33,1089,"M","White","Divorced",TRUE,FALSE,FALSE,NA
2.30258509299405,28,784,"F","White","Separated",FALSE,TRUE,FALSE,NA
2.85115104474288,37,1369,"M","Asian","Single",FALSE,TRUE,FALSE,NA
1.75253875607477,31,961,"F","Asian","Single",FALSE,FALSE,FALSE,NA
3.40119738166216,32,1024,"M","White","Married",FALSE,FALSE,FALSE,NA
3.00530172457014,29,841,"F","White","Married",FALSE,FALSE,FALSE,NA
3.73354022494136,58,3364,"F","Black","Married",FALSE,TRUE,FALSE,NA
2.27331471069393,26,676,"M","Other","Separated",TRUE,FALSE,FALSE,NA
2.26336437984076,25,625,"F","Other","Single",FALSE,TRUE,FALSE,NA
3.02671581907396,27,729,"F","Other","Divorced",FALSE,FALSE,FALSE,NA
2.55104645229255,48,2304,"M","Black","Separated",FALSE,TRUE,FALSE,NA
